"24.09.2023 13:40:44 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:00 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:01 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"01.06.2024 14:28:02 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
